censor,closure_time,start_year,Business type,Rate type (STD),type,sq(ft),is_downtown_association,zone,zone_type,is_home_occ,ft to downtown
0,1446,2022,Rental- Residential,Residential Rental,Rental,94725.36439411792,False,C,Commercial,False,10651.79277535041
1,5460,2011,Food Store,General Retailer,Retail,1155362.2785815012,False,PF,Public,False,10447.756081364414
1,1607,2021,Rental- Residential,Residential Rental,Rental,6358.596579507637,False,R-1,Residential,False,11363.595200661695
0,1686,2021,Rental- Residential,Residential Rental,Rental,7110.34118434803,False,R-3,Residential,False,3052.981444635982
0,1414,2022,Rental- Residential,Residential Rental,Rental,9797.939529804344,False,R-1,Residential,False,3735.1839561025504
0,1108,2023,Misc Business Services,Downtown Association,Downtown Association,36099.68329911458,True,C,Commercial,False,0.0
0,4202,2014,Rental- Commercial,Commercial Rental Property,Rental,7114.890323680366,False,C,Commercial,False,950.7307343737344
0,3976,2015,Rental- Commercial,Commercial Rental Property,Rental,6464.116083731654,False,R-1,Residential,False,4145.463707514276
0,1455,2022,Rental- Residential,Residential Rental,Rental,27726.69781839679,False,R-4,Residential,False,4169.740751542219
0,1881,2021,Rental- Residential,Residential Rental,Rental,11283.14550940987,False,R-1,Residential,False,9558.73321749948
0,1572,2021,Rental- Residential,Residential Rental,Rental,10785.85726791201,False,O,Office,False,599.3654098788928
1,3784,2015,Rental- Residential,Residential Rental,Rental,1769.4357080215511,False,R-2,Residential,False,13625.144510639282
1,4936,2012,Rental- Commercial,Commercial Rental Property,Rental,8871.664957221596,False,O,Office,False,696.0052380481465
0,1102,2023,Rental- Residential,Residential Rental,Rental,15440.282656191115,False,R-3,Residential,False,949.1507019198468
0,5656,2010,Rental- Residential,Residential Rental,Rental,90128.52158607537,False,R-4,Residential,False,4552.782293308789
0,1590,2021,Rental- Residential,Residential Rental,Rental,5446.765269580332,False,R-3,Residential,False,1890.462655125049
1,5663,2010,Rental- Residential,Residential Rental,Rental,93487.69405701438,False,R-2,Residential,False,9721.45944705644
0,309,2025,Rental- Residential,Residential Rental,Rental,7698.110816639509,False,R-2,Residential,False,1054.9249127140338
0,5618,2010,Rental- Residential,Residential Rental,Rental,8055.758144979996,False,R-1,Residential,False,4788.062227718702
0,3878,2015,Rental- Residential,Residential Rental,Rental,7090.655414094078,False,R-2,Residential,False,2861.991830154517
0,900,2023,Restaurant,General Retailer,Retail,193021.83420679177,False,C,Commercial,False,9488.923976079734
0,1890,2021,Rental- Residential,Residential Rental,Rental,6205.863804125417,False,R-1,Residential,False,7870.816440355814
0,1478,2022,Rental- Residential,Residential Rental,Rental,5029.0585450964645,False,R-2,Residential,False,1127.9813010596977
0,1110,2023,Rental- Residential,Residential Rental,Rental,8458.30041591435,False,R-1,Residential,False,11936.951264313291
0,1414,2022,Rental- Residential,Residential Rental,Rental,11743.20981842555,False,R-1,Residential,False,4668.667531206306
0,1525,2022,Rental- Commercial,Commercial Rental Property,Rental,6124.570530699991,False,C,Commercial,False,2105.4473433675253
0,3180,2017,Real Estate Broker,Residential Rental,Rental,13114.059988926234,False,R-3,Residential,False,900.8096379955972
1,1768,2021,Rental- Residential,Residential Rental,Rental,9710.37468518133,False,R-1,Residential,False,8999.27662964779
1,3462,2016,Rental- Residential,Residential Rental,Rental,9861.114990961803,False,R-1,Residential,False,8544.912128108455
0,1026,2023,Homestay,General Service,Service,3000.255026627184,False,R-2,Residential,False,7429.80993827197
0,1499,2022,Rental- Residential,Residential Rental,Rental,7520.176639113828,False,R-1,Residential,False,3488.5955252918907
0,3161,2017,Restaurant,General Service,Service,83837.45092914342,False,C,Commercial,False,3139.622646675698
1,11297,1995,Restaurant,General Retailer,Retail,83837.45092914342,False,C,Commercial,False,3139.622646675698
1,2891,2018,Rental- Residential,Residential Rental,Rental,6594.063777922244,False,R-1,Residential,False,12140.025659746723
1,2614,2019,Hotels and Motels,General Service,Service,6451.188512015197,False,C,Commercial,False,1986.1909651902636
0,4638,2013,Rental- Residential,Residential Rental,Rental,5961.87962451553,False,R-1,Residential,False,9398.230413740945
1,5272,2011,Rental- Residential,Residential Rental,Rental,8944.115465440613,False,R-1,Residential,False,2991.5471518620216
0,5614,2010,Rental- Residential,Residential Rental,Rental,14994.475466315524,False,R-1,Residential,False,3514.939346112533
0,5547,2010,Architect,Downtown Association,Downtown Association,37187.77312983599,True,C,Commercial,False,0.0
0,3948,2015,Financial Institution,Downtown Association,Downtown Association,11168.773686126557,True,C,Commercial,False,0.0
1,4034,2015,Retail,Downtown Association,Downtown Association,6856.485768671048,True,C,Commercial,False,0.0
1,8855,2001,Restaurant,Downtown Association,Downtown Association,17670.088737935323,True,C,Commercial,False,0.0
1,1160,2023,Entertainment,General Retailer,Retail,19432.69459270596,False,C,Commercial,False,2114.246026613175
0,6997,2007,Misc Business Services,Downtown Association,Downtown Association,8418.389202798851,False,O,Office,False,0.0
1,13062,1990,Retail,General Retailer,Retail,28229.54682344608,False,M,Manufacturing,False,9045.084089785603
1,5657,2010,Rental- Residential,Residential Rental,Rental,7579.964412301609,False,R-1,Residential,False,7220.810033590647
0,1611,2021,Restaurant,Downtown Association,Downtown Association,40800.80106152653,True,C,Commercial,False,0.0
0,1411,2022,Rental- Residential,Residential Rental,Rental,59233.36639189376,False,R-1,Residential,False,6037.417184650315
1,2772,2018,Rental- Residential,Residential Rental,Rental,6918.680329732019,False,R-1,Residential,False,4374.989876756328
0,3419,2016,Rental- Residential,Residential Rental,Rental,137598.97772719368,False,R-4,Residential,False,3079.9175517103417
0,5607,2010,Rental- Residential,Residential Rental,Rental,137598.97772719368,False,R-4,Residential,False,3079.9175517103417
1,9167,2001,Rental- Residential,Residential Rental,Rental,17560.02856225677,False,R-1,Residential,False,5001.5147223813465
1,95,2025,Homestay,General Service,Service,26248.72151231968,False,R-1,Residential,False,5311.633610880698
0,81,2025,Rental- Residential,General Service,Service,26248.72151231968,False,R-1,Residential,False,5332.715330046441
1,1458,2022,Rental- Residential,Residential Rental,Rental,8932.678230804255,False,R-1,Residential,False,4351.8766447798525
1,3231,2017,Hotels and Motels,General Service,Service,6997.351439301231,False,R-1,Residential,False,3596.7954603845046
0,1525,2022,Rental- Residential,Residential Rental,Rental,7483.778480226097,False,R-1,Residential,False,4681.270824834071
1,1457,2022,Rental- Residential,Residential Rental,Rental,6593.517153366478,False,R-1,Residential,False,5143.893008803418
1,1026,2023,Homestay,General Service,Service,6939.208779835159,False,R-1,Residential,False,4177.688608025133
1,2810,2018,Hotels and Motels,General Service,Service,7019.531358789252,False,R-1,Residential,False,7624.408725797741
1,4949,2012,Rental- Residential,Residential Rental,Rental,7858.656135448047,False,R-1,Residential,False,2427.803380623096
0,3313,2017,Rental- Residential,Residential Rental,Rental,44361.76834777495,False,R-4,Residential,False,5336.071752437731
0,1414,2022,Rental- Residential,Residential Rental,Rental,9795.087735153871,False,R-1,Residential,False,3823.032939181632
0,1491,2022,Rental- Residential,Residential Rental,Rental,5745.465228054937,False,R-1,Residential,False,2285.2885574717093
1,4811,2013,Rental- Commercial,Commercial Rental Property,Rental,127799.99760865472,False,C,Commercial,False,5270.938566367954
1,7708,2005,Retail,General Retailer,Retail,1040694.0422821196,False,R-2,Residential,False,10747.129610853885
1,1816,2021,Home Occupation,General Retailer,Retail,7176.735285559057,False,R-2,Residential,True,2080.369485425869
0,8221,2003,Home Occupation,General Service,Service,5977.918475394676,False,R-1,Residential,True,7323.778607167826
0,2857,2018,Home Occupation,General Retailer,Retail,7514.97889692857,False,R-1,Residential,True,14141.336454434138
0,2390,2019,Rental- Residential,Residential Rental,Rental,5635.055460866103,False,R-1,Residential,False,5034.893708730604
0,10803,1996,Misc Business Services,General Service,Service,3281054.0784845315,False,C,Commercial,False,32555.34777774913
0,3669,2016,Rental- Residential,Residential Rental,Rental,6687.128044267043,False,R-1,Residential,False,7185.475022236819
1,6058,2009,Home Occupation,General Retailer,Retail,6486.67663775278,False,R-1,Residential,True,8035.984806954454
0,1890,2021,Rental- Residential,Residential Rental,Rental,33492.83543576,False,R-2,Residential,False,7235.7629419236255
0,12362,1992,Rental- Commercial,Commercial Rental Property,Rental,16498.029692163353,False,C,Commercial,False,782.8801255401808
1,1663,2021,Professional,Professional Service,Service,3150837.0800128286,False,C,Commercial,False,15698.203336474138
0,1452,2022,Rental- Residential,Residential Rental,Rental,174830.0224044298,False,R-2,Residential,False,7561.833115312173
1,5651,2010,Software Development,General Service,Service,11267.950908733246,False,C,Commercial,False,3935.933300702684
1,3433,2016,Rental- Commercial,Downtown Association,Downtown Association,8045.075438811998,False,O,Office,False,0.0
0,2409,2019,Rental- Residential,Residential Rental,Rental,8761.388632886465,False,R-3,Residential,False,3191.9486345828955
0,1418,2022,Rental- Residential,Residential Rental,Rental,6413.390078609722,False,R-1,Residential,False,6829.96451782749
0,4791,2013,Professional,Professional Service,Service,7773.239105820109,False,R-1,Residential,False,3110.575956525634
0,4791,2013,Professional,Professional Service,Service,7773.239105820109,False,R-1,Residential,False,3110.575956525634
1,6631,2008,Home Occupation,General Service,Service,5455.050403204484,False,R-2,Residential,True,10812.758410186076
0,156,2025,Rental- Residential,Residential Rental,Rental,7518.839836234435,False,R-2,Residential,False,1518.0699546929172
1,1525,2022,Rental- Residential,Residential Rental,Rental,10989.237028525957,False,R-1,Residential,False,3747.371737685228
0,1457,2022,Rental- Residential,Residential Rental,Rental,7529.340476466144,False,R-2,Residential,False,1884.6555486136767
0,1709,2021,Rental- Residential,Residential Rental,Rental,10989.237028525957,False,R-1,Residential,False,3740.518685522648
0,2390,2019,Rental- Residential,Residential Rental,Rental,5635.055460866103,False,R-1,Residential,False,5005.743431172755
0,3545,2016,Rental- Residential,Residential Rental,Rental,17472.049569424642,False,R-1,Residential,False,6034.01884360982
0,3714,2016,Rental- Residential,Residential Rental,Rental,8888.731608952421,False,R-2,Residential,False,983.069174549746
0,1425,2022,Rental- Residential,Residential Rental,Rental,7269.233572281882,False,R-1,Residential,False,11239.408030753237
1,2971,2018,"Wholesale, Distributors",General Wholesaler,Other,29745.532629041856,False,R-4,Residential,False,7997.939222855874
0,5821,2010,Contractor- Specialty,Contractor,Service,10059.213905450344,False,O,Office,False,1825.3296148149911
1,15954,1982,"Computers, Sales & Service",Professional Service,Service,40645.68397850013,False,O,Office,False,1213.9383166918035
0,5651,2010,Rental- Residential,Residential Rental,Rental,7110.34118434803,False,R-3,Residential,False,2972.932417370896
0,1160,2023,Contractor- General,General Retailer,Retail,9508767.479464812,False,C,Commercial,False,30339.75062482681
1,7394,2005,Misc Business Services,General Service,Service,6031525.715962919,False,C,Commercial,False,23005.057218642065
0,4348,2014,Rental- Residential,Residential Rental,Rental,7260.389077682158,False,R-1,Residential,False,4322.427384270467
0,2724,2018,Miscellaneous Business,General Service,Service,138288.0911287408,False,O,Office,False,7482.513078973373
0,5656,2010,Rental- Commercial,Commercial Rental Property,Rental,40115.7212280654,False,BP,Commercial,False,12105.93190771418
0,1425,2022,Rental- Residential,Residential Rental,Rental,8761.388632886465,False,R-3,Residential,False,3191.9486345828955
1,7700,2005,Consultant,Professional Service,Service,6860.350986412816,False,R-1,Residential,False,14826.189768053066
1,3185,2017,Consultant,Professional Service,Service,98558.526567752,False,M,Manufacturing,False,8686.44642663586
0,1225,2022,Homestay,Residential Rental,Rental,7527.858032085735,False,R-2,Residential,False,824.8150444962212
0,1323,2022,Homestay,General Service,Service,7527.858032085735,False,R-2,Residential,False,824.8150444962212
0,9087,2001,Rental- Residential,Residential Rental,Rental,5997.055577829237,False,R-1,Residential,False,3933.034941338594
0,3459,2016,Rental- Residential,Residential Rental,Rental,7764.713697486735,False,R-2,Residential,False,1135.2499862568516
0,1023,2023,Rental- Residential,Residential Rental,Rental,7002.535554549498,False,R-2,Residential,False,3046.673032894115
0,1017,2023,Rental- Residential,Residential Rental,Rental,10180.594639209472,False,R-3,Residential,False,466.5780701757547
0,4412,2014,Rental- Residential,Residential Rental,Rental,14286.773515040866,False,R-4,Residential,False,6276.579987482987
0,564,2024,Contractor- General,Contractor,Service,5634.361683283368,False,O,Office,False,707.0829663866418
0,3334,2017,Engineer,Professional Service,Service,5634.361683283368,False,O,Office,False,707.0829663866418
0,6244,2009,Property Management,Residential Rental,Rental,13680.453101762874,False,O,Office,False,0.0
0,1187,2022,Home Occupation,Contractor,Service,16881240.49913421,False,C,Commercial,True,14958.770140244224
1,1782,2021,Medical Services,Professional Service,Service,97915.6927441578,False,C,Commercial,False,12873.812385833986
0,3993,2015,Medical Services,General Service,Service,25614.63317779357,False,O,Office,False,10175.899151926187
1,6805,2007,Home Occupation,General Service,Service,4243.211165184309,False,R-1,Residential,True,15028.661528484892
1,7588,2005,Restaurant,General Retailer,Retail,41930.0658066491,False,C,Commercial,False,11225.920550760997
1,9152,2001,Rental- Commercial,Commercial Rental Property,Rental,23323.494486400374,False,C,Commercial,False,516.3847542665969
0,3658,2016,Rental- Residential,Residential Rental,Rental,10998.37369573436,False,R-1,Residential,False,4708.649305549373
1,8207,2003,Rental- Residential,Residential Rental,Rental,6138.511728322041,False,R-1,Residential,False,7376.828459118249
0,1488,2022,Rental- Residential,Residential Rental,Rental,15790.085085227856,False,R-3,Residential,False,2168.7800291919293
0,1101,2023,Rental- Residential,Residential Rental,Rental,4998.339118871139,False,R-2,Residential,False,1814.710037787168
0,2458,2019,Rental- Residential,Residential Rental,Rental,8761.388632886465,False,R-3,Residential,False,3191.9486345828955
0,5667,2010,Rental- Residential,Residential Rental,Rental,7933.499605066788,False,R-1,Residential,False,1320.9455806233827
1,3550,2016,Rental- Residential,Residential Rental,Rental,23303.44494127662,False,R-2,Residential,False,631.4263869488401
0,5666,2010,Rental- Residential,Residential Rental,Rental,3606.340684344967,False,R-3,Residential,False,2493.000267775733
0,1626,2021,Rental- Residential,Residential Rental,Rental,7175.817505412584,False,R-1,Residential,False,4848.727762806243
0,1777,2021,Rental- Residential,Residential Rental,Rental,93052.41216250887,False,R-3,Residential,False,417.2606309340969
0,3651,2016,Home Occupation,General Service,Service,6232.9361143088,False,R-1,Residential,True,9425.893243851397
0,1525,2022,Rental- Residential,Residential Rental,Rental,5813.3537889858935,False,R-1,Residential,False,4176.868158982326
0,6021,2009,Rental- Residential,Residential Rental,Rental,7953.662996358944,False,R-1,Residential,False,4646.073526793354
1,5618,2010,Rental- Residential,Residential Rental,Rental,7953.662996358944,False,R-1,Residential,False,4632.529652235713
0,1344,2022,Homestay,General Service,Service,7204.179413328975,False,R-1,Residential,False,5094.034036396521
0,267,2025,Rental- Residential,General Retailer,Retail,13753.638894151449,False,R-3,Residential,False,1792.3394051303333
0,3870,2015,Rental- Residential,Residential Rental,Rental,8761.388632886465,False,R-3,Residential,False,3191.9486345828955
0,1572,2021,Homestay,General Service,Service,7156.779849462009,False,R-1,Residential,False,5691.205502364033
1,9199,2000,Rental- Residential,Residential Rental,Rental,38279.30191762322,False,R-3,Residential,False,615.9992697893091
0,795,2024,Property Management,Residential Rental,Rental,6857.371990057769,False,R-2,Residential,False,1518.4658499274651
0,15954,1982,Rental- Residential,Residential Rental,Rental,9511.167959558215,False,R-3,Residential,False,3244.3405763874384
0,4041,2015,Rental- Commercial,Downtown Association,Downtown Association,6856.485768671048,True,C,Commercial,False,0.0
0,14032,1987,Food Store,Downtown Association,Downtown Association,10242.680863002382,True,C,Commercial,False,0.0
0,15223,1984,Food Store,General Retailer,Retail,26864.010139158006,False,C,Commercial,False,2616.424813582887
0,15954,1982,Food Store,General Retailer,Retail,10184.050546423692,False,C,Commercial,False,723.2442186665883
0,2378,2019,Rental- Residential,Residential Rental,Rental,9322.905471772056,False,R-1,Residential,False,4750.529431349476
1,1094,2023,Rental- Residential,Residential Rental,Rental,5802.323023349197,False,R-1,Residential,False,4284.443613034942
1,15954,1982,Rental- Residential,Residential Rental,Rental,17670.043231042226,False,R-4,Residential,False,5727.332819343692
1,2712,2018,Rental- Residential,Residential Rental,Rental,4507.608012898329,False,R-2,Residential,False,1247.3617461424008
1,5006,2012,"Accounting,Auditing/CPA/Tax Service",Downtown Association,Downtown Association,4909.187098390863,True,C,Commercial,False,0.0
0,745,2024,Home Occupation,General Retailer,Retail,38279.30191762322,False,R-3,Residential,True,615.9992697893091
1,1277,2022,Business/ Services/ Professions,Downtown Association,Downtown Association,19688.68976216909,True,C,Commercial,False,0.0
1,243,2025,Miscellaneous Business,General Service,Service,226167.71014752515,False,R-2,Residential,False,6721.423793893644
1,2488,2019,Home Occupation,General Service,Service,10101.89084434102,False,R-2,Residential,True,1798.5985405115616
1,1586,2021,Attorney at Law,Downtown Association,Downtown Association,5532.136691483377,False,O,Office,False,0.0
0,948,2023,Motor Vehicle Sales,General Retailer,Retail,13062.972741582882,False,C,Commercial,False,1438.088720600228
0,2346,2019,Home Occupation,Contractor,Service,6872.65673057811,False,R-1,Residential,True,4390.901552957636
0,2697,2018,Home Occupation,General Service,Service,40336.07423011989,False,M,Manufacturing,True,6869.463564838793
1,1578,2021,Home Occupation,General Service,Service,1040694.0422821196,False,R-2,Residential,True,10557.168410703522
0,2043,2020,Communications,Downtown Association,Downtown Association,37187.77312983599,True,C,Commercial,False,0.0
0,1481,2022,Rental- Residential,Residential Rental,Rental,6161.49327432352,False,R-1,Residential,False,3388.477831592571
1,15954,1982,Retail,General Retailer,Retail,260842.2226411217,False,C,Commercial,False,9141.881055823376
0,1678,2021,Rental- Residential,Residential Rental,Rental,6499.491982397879,False,R-2,Residential,False,515.8839178025258
0,3201,2017,Rental- Residential,Residential Rental,Rental,14197.82419681304,False,R-3,Residential,False,2667.6185985250645
1,1627,2021,Rental- Residential,Residential Rental,Rental,15123.588721771648,False,R-1,Residential,False,10124.94503952756
1,7734,2005,Rental- Commercial,Downtown Association,Downtown Association,3827.001850515365,True,C,Commercial,False,0.0
1,2885,2018,Rental- Residential,Residential Rental,Rental,1471.3732743945882,False,R-3,Residential,False,5355.040860488804
1,5875,2010,Home Occupation,General Service,Service,5357.690810049276,False,R-1,Residential,True,6079.354530474874
1,9110,2001,Home Occupation,General Wholesaler,Other,415575.2645702878,False,C,Commercial,True,12776.381249409347
0,1443,2022,Rental- Residential,Residential Rental,Rental,8667.373399977987,False,R-2,Residential,False,5772.992207490423
0,15954,1982,Retail,General Retailer,Retail,16773.005479994372,False,C,Commercial,False,4010.33482232002
0,10817,1996,Misc Business Services,General Service,Service,11713.193086348603,False,M,Manufacturing,False,8590.18871682479
0,4595,2013,Rental- Residential,Residential Rental,Rental,5243.652449034968,False,C,Commercial,False,7367.390986553672
1,5126,2012,Home Occupation,General Service,Service,9806.87963724955,False,R-1,Residential,True,4019.827330489222
1,9360,2000,Education/School,Professional Service,Service,76045.2036602782,False,C,Commercial,False,10024.543732764068
1,14771,1985,Gardening,General Service,Service,6528.677868984577,False,O,Office,False,1733.6696344230077
1,11267,1995,Home Occupation,General Service,Service,9838.166829942586,False,R-1,Residential,True,9459.969668026471
1,5635,2010,Rental- Residential,Residential Rental,Rental,152911.7341915805,False,R-3,Residential,False,6220.439496210452
1,11938,1993,Home Occupation,General Service,Service,7765.524501853469,False,R-1,Residential,True,2891.2378932180104
1,9375,2000,Home Occupation,General Service,Service,1040694.0422821196,False,R-2,Residential,True,10747.129610853885
0,1488,2022,Home Occupation,General Retailer,Retail,8150.958073413299,False,R-1,Residential,True,3897.649420915375
1,5155,2012,Home Occupation,Professional Service,Service,5500.405625508004,False,R-1,Residential,True,7461.26879551234
0,3252,2017,Misc Business Services,General Service,Service,90128.52158607537,False,R-4,Residential,False,4521.052696581866
0,6106,2009,Beauty Salon,Downtown Association,Downtown Association,20111.766218409768,True,C,Commercial,False,0.0
0,4392,2014,Home Occupation,General Service,Service,61014.00068540238,False,C,Commercial,True,2282.738650474147
0,6939,2007,Home Occupation,General Service,Service,14487.480671420728,True,C,Commercial,True,0.0
1,7290,2006,Medical Services,General Service,Service,5446.765269580332,False,R-3,Residential,False,1901.7972346259696
1,6022,2009,Retail,Downtown Association,Downtown Association,1993.1090603504392,True,C,Commercial,False,0.0
1,8920,2001,Gardening,General Service,Service,42642.75983606741,False,R-4,Residential,False,6317.052838317747
1,7001,2007,Home Occupation,General Service,Service,44361.76834777495,False,R-4,Residential,True,5336.071752437731
1,7242,2006,Gardening,General Service,Service,92762.73158602785,False,M,Manufacturing,False,15587.487227967413
1,10346,1997,Home Occupation,Massage Therapist,Service,5315.683702786066,False,R-2,Residential,True,1863.0956084606448
1,8733,2002,Home Occupation,Contractor,Service,15337.362940363264,False,R-1,Residential,True,9005.08618625483
1,2201,2020,Home Occupation,General Service,Service,17472.049569424642,False,R-1,Residential,True,6080.862174970814
1,15589,1983,Medical Services,Professional Service,Service,28930.910947524146,False,O,Office,False,1814.6413556158027
1,2779,2018,Retail,General Retailer,Retail,9792.948438017102,False,O,Office,False,2035.0321536182944
1,4897,2012,Artist/Art Dealer/Sales/Gallery,Downtown Association,Downtown Association,6970.456318220508,True,C,Commercial,False,0.0
1,6849,2007,Home Occupation,General Service,Service,32828.32304179366,False,R-2,Residential,True,9175.360514022532
1,8523,2002,Beauty Salon,General Service,Service,8723.090932855488,False,C,Commercial,False,1829.3309323991505
0,3413,2016,Software Development,Professional Service,Service,14829.866405835464,False,C,Commercial,False,11083.650987857558
1,5363,2011,"Wholesale, Distributors",General Wholesaler,Other,16721.253007980296,False,M,Manufacturing,False,9481.52708955213
1,6009,2009,Home Occupation,Professional Service,Service,10387.111160297378,False,R-1,Residential,True,10339.408716295517
1,7108,2006,Home Occupation,General Service,Service,231991.8356934611,False,R-2,Residential,True,8517.36577994878
1,4321,2014,Real Estate Agent,Downtown Association,Downtown Association,6589.257824456742,True,C,Commercial,False,0.0
0,4321,2014,Real Estate Agent,General Retailer,Retail,31553.48140695453,False,C,Commercial,False,1845.1014356876703
1,4629,2013,Manufacturing,General Manufacturer,Other,837134.2425306678,False,BP,Commercial,False,8180.959807750548
1,3824,2015,"Computers, Sales & Service",Professional Service,Service,34836.85971921327,False,M,Manufacturing,False,6907.783073831066
1,5028,2012,Massage,Massage Therapist,Service,4100.344677969747,False,C,Commercial,False,2661.1453823923325
0,2922,2018,Retail,General Retailer,Retail,10059.72942862145,False,C,Commercial,False,1402.8767057774571
1,11725,1994,Home Occupation,General Service,Service,6042.924330639083,False,R-1,Residential,True,4901.364778153725
1,6065,2009,Massage,Massage Therapist,Service,14050.656978072337,False,R-2,Residential,False,2605.659429514414
0,193,2025,Personal Services,General Service,Service,97915.6927441578,False,C,Commercial,False,12873.812385833986
1,1422,2022,Home Occupation,General Service,Service,28741.170103438617,False,C,Commercial,True,6266.815613009545
1,5628,2010,Rental- Residential,Residential Rental,Rental,35382.061639388914,False,O,Office,False,2313.676742323609
1,6252,2009,Home Occupation,General Retailer,Retail,11469.173357985052,False,R-1,Residential,True,15615.421841601468
0,4217,2014,Home Occupation,General Service,Service,46803.05023280944,False,R-1,Residential,True,11353.85446708912
1,7912,2004,Recreational Services,General Service,Service,7442.274400855562,False,R-2,Residential,False,1089.4780813129123
1,9667,1999,Retail,Downtown Association,Downtown Association,13680.453101762874,False,O,Office,False,0.0
1,7856,2004,Contractor- General,General Service,Service,6124.274236636918,False,R-1,Residential,False,9772.784272639885
1,11231,1995,Entertainment,General Service,Service,516017.9965464648,False,R-2,Residential,False,7799.28587419948
0,2887,2018,Business/ Services/ Professions,General Service,Service,28389.74202369154,False,R-2,Residential,False,13450.898112448656
1,6391,2008,Medical Services,Professional Service,Service,5271.361789801912,False,O,Office,False,2747.722157002453
1,4243,2014,Home Occupation,General Service,Service,8281.100781121786,False,R-1,Residential,True,8555.098791313201
0,3129,2017,Rental- Residential,Residential Rental,Rental,81110.11578840249,False,R-2,Residential,False,7441.64146473818
1,4139,2014,Apparel/Accessories,General Service,Service,97915.6927441578,False,C,Commercial,False,12873.812385833986
1,6000,2009,Home Occupation,Professional Service,Service,62641.14236484598,False,R-4,Residential,True,2763.6710479319954
0,9502,2000,Medical Services,Professional Service,Service,20969.22290348807,False,O,Office,False,3671.696228014038
0,6386,2008,Manufacturing,General Manufacturer,Other,17882.593115281787,False,C,Commercial,False,11685.660550263983
1,9466,2000,Contractor- General,General Service,Service,9073.257420029577,False,R-2,Residential,False,2419.2164767174686
1,8669,2002,Gardening,General Service,Service,6031525.715962919,False,C,Commercial,False,22912.117607798227
1,7322,2006,Retail,General Retailer,Retail,305465.4763845249,False,C,Commercial,False,6426.973448585038
1,6556,2008,Auto Mechanic/Detailer/Services,General Service,Service,106851.71203752069,False,C,Commercial,False,11484.186140598971
