DBA,Business type,Bus address,Start date,Close date,License description,Rate type (STD),closure_time,censor,type,longitude,latitude
382 Albert Owner LLC,Rental- Residential,382 ALBERT DR,1/1/2022,3/31/2023,Rental house for college students,Residential Rental,1524,1,Rental,-120.6559574,35.29330743
3B Supply Group,"Wholesale, Distributors",829 BASIL LANE,1/16/2018,8/1/2018,Building And Construction Material Seller,General Wholesaler,2970,1,Other,-120.6462873,35.25960387
"3I Infotech Financial Software, Inc.","Computers, Sales & Service",555 CHORRO ST STE B,7/1/1982,6/30/2016,Software sales,Professional Service,15953,1,Service,-120.6670192,35.2845031
4 Seasons Carpet Care,Misc Business Services,5458 EDNA RD,12/7/2005,9/19/2016,Carpet Care,General Service,7393,1,Service,-120.6234319,35.22261953
"45DB Acoustics, LLC",Consultant,4525 Wavertree ST,2/4/2005,10/14/2024,Consultant,Professional Service,7699,1,Service,-120.6282418,35.24727054
"45DB Acoustics, LLC",Consultant,3450 BROAD ST 101,6/16/2017,10/12/2018,"Acoustics, Noise And Vibration Consulting",Professional Service,3184,1,Service,-120.6471832,35.25684731
5 Elements Pelvic Health and Women's Physical Ther,Medical Services,4251 S HIGUERA ST # 300,4/19/2021,5/3/2025,Physical Therapist,Professional Service,1781,1,Service,-120.676363,35.241632
5 To 9 Media,Home Occupation,4554 WAVERTREE ST,7/19/2007,12/31/2009,Website For Social Networking For Sobriety,General Service,6804,1,Service,-120.6283208,35.24649002
50's Diner,Restaurant,1443 CALLE JOAQUIN,5/27/2005,9/24/2009,,General Retailer,7587,1,Retail,-120.6809018,35.24762395
505 Higuera Llc,Rental- Commercial,505 HIGUERA-PROPERTY RENTAL,2/13/2001,8/4/2006,,Commercial Rental Property,9151,1,Rental,-120.6683322,35.27635298
511 Stanford Drive Owners,Rental- Residential,511 STANFORD DR,9/16/2003,5/1/2012,Residential Rental Property,Residential Rental,8206,1,Rental,-120.6783172,35.29877982
560 Buchon Rental,Rental- Residential,560 BUCHON ST,6/16/2016,12/18/2018,Residential Rental Property,Residential Rental,3549,1,Rental,-120.66353,35.2747984
611 Luneta LLC,Rental- Residential,611 LUNETA DR,10/18/2010,5/4/2012,,Residential Rental,5617,1,Rental,-120.6749104,35.29141564
660 Peach Street Apartments,Rental- Residential,660 PEACH ST (24 UNITS),12/28/2000,6/30/2015,,Residential Rental,9198,1,Rental,-120.667474,35.2820092
713 Meinecke,Rental- Residential,713 MEINECKE AVE,3/8/2023,12/13/2024,Residentiial Rental,Residential Rental,1093,1,Rental,-120.6714823,35.29233086
730 Boysen LLC,Rental- Residential,730 BOYSEN AVE,7/1/1982,6/28/2016,Residential Rental Property,Residential Rental,15953,1,Rental,-120.672333,35.29665354
750 Leff St,Rental- Residential,750 LEFF ST,10/2/2018,7/1/2021,Residential Rental,Residential Rental,2711,1,Rental,-120.6594855,35.27485022
786 Boutique,"Accounting,Auditing/CPA/Tax Service",716 HIGUERA ST,6/21/2012,3/5/2013,"Retail Clothing Store, Accessories And Gifts",Downtown Association,5005,1,Downtown Association,-120.664249,35.27911036
805 Fearless,Business/ Services/ Professions,872 HIGUERA ST,9/6/2022,4/10/2023,Safety Products,Downtown Association,1276,1,Downtown Association,-120.6620575,35.28041566
805 Foam Fights,Miscellaneous Business,523 PASEO BELLA MONTANA # B,7/6/2025,11/18/2025,,General Service,242,1,Service,-120.6754185,35.29821098
805 Kettle Corn,Home Occupation,233 SANDERCOCK ST,5/14/2019,10/29/2020,Kettle Corn & Lemonade,General Service,2487,1,Service,-120.6672396,35.27113587
805 Welding & Repair,Home Occupation,3860 S HIGUERA ST #182,11/9/2021,5/31/2022,Mobile Welding & Repair Service,General Service,1577,1,Service,-120.6732622,35.24758348
84 Lumber Company,Retail,3600 S HIGUERA ST,7/1/1982,6/14/2007,,General Retailer,15953,1,Retail,-120.6710924,35.25120884
910 Vista del Collados - Rental,Rental- Residential,910 VISTA DEL COLLADOS,9/21/2021,4/3/2025,Residential rental,Residential Rental,1626,1,Rental,-120.6989194,35.26725565
955 Partnership,Rental- Commercial,955 MONTEREY ST,1/1/2005,6/30/2023,Rental-Commercial,Downtown Association,7733,1,Downtown Association,-120.66186,35.28139249
977 Humbert,Rental- Residential,977 HUMBERT AVE,4/12/2018,4/19/2018,Residentail Rental,Residential Rental,2884,1,Rental,-120.6512043,35.26564495
A & B Carpet & Cleaning,Home Occupation,133 N TASSAJARA DR,2/3/2010,1/1/2016,"Carpets, Floors, And Janitorial",General Service,5874,1,Service,-120.6779381,35.29452197
A & B Fire Protection & Safety Inc,Fire Equipment/Protection,763 ALPHONSO ST,3/10/2010,10/24/2012,Fire Extinguisher Service & Sale ~ Fire Protection Svc & Install,General Service,5839,1,Service,-120.6545076,35.26835014
A & C Farms,Home Occupation,12500 LOS OSOS VALLEY RD,3/27/2001,2/12/2015,,General Wholesaler,9109,1,Other,-120.6810862,35.24309952
A B G Acquisition Corp,,11545 LOS OSOS VALLEY RD A4,6/3/2002,3/31/2010,,General Service,8676,1,Service,-120.691325,35.25713838
A Bailey Landscapes,Home Occupation,1230 SYLVIA CT,2/22/2012,9/25/2013,"Landscape Design, Installation & Maintenance",General Service,5125,1,Service,-120.6490179,35.27168246
A Balanced Approach,Education/School,3591 SACRAMENTO DR STE 116,7/20/2000,5/3/2021,Educational Services,Professional Service,9359,1,Service,-120.6420819,35.25520618
A Better Earth Landscape Care,Gardening,1520 HIGUERA ST,9/26/1985,6/30/2022,,General Service,14770,1,Service,-120.6537036,35.28559882
A Better Way Housecleaning,Home Occupation,1962 LIMA DR,5/1/1995,11/3/2015,Janitorial Services,General Service,11266,1,Service,-120.6852874,35.25527504
A C Finley Enterprises,Rental- Residential,2903 GARIBALDI AVE,10/1/2010,1/1/2015,Residential Rental Property,Residential Rental,5634,1,Rental,-120.649331,35.26380469
A Cory Hughes,Home Occupation,230 BROAD ST,6/29/1993,6/11/2013,,General Service,11937,1,Service,-120.6710707,35.28779115
A Country Walk Landscapes,Home Occupation,3960 S HIGUERA ST STE 151,7/5/2000,6/17/2013,,General Service,9374,1,Service,-120.6735504,35.24709949
"A D G Nursing, Inc.",Home Occupation,314 SAGE STREET,1/24/2012,5/17/2021,Certified Registered Nurse Anesthetist,Professional Service,5154,1,Service,-120.6640833,35.25556923
"A G Pain Management, Inc",Business Management,10 SANTA ROSA ST STE 201,7/21/2010,1/31/2012,Pain Management Physician,Professional Service,5706,1,Service,-120.6676649,35.29383987
A Guided Touch In Home Support,Medical Services,1354 BRECK ST,3/21/2006,1/27/2007,,General Service,7289,1,Service,-120.6513622,35.2796156
A Heart's Desires Bridal,Retail,749 HIGUERA ST,9/9/2009,9/18/2021,"Full Service Bridal Salon, Wedding Gowns & Bridesmaids Dresses",Downtown Association,6021,1,Downtown Association,-120.6637638,35.27925928
A Hedge Above The Rest,Gardening,2828 AUGUSTA ST 6,10/3/2001,11/30/2006,,General Service,8919,1,Service,-120.6428068,35.2678231
A Helping Hand Landscapes,Home Occupation,263 N CHORRO ST 8,1/4/2007,7/31/2009,Landscaping,General Service,7000,1,Service,-120.6721022,35.29546629
A Helping Hand Landscaping,Gardening,4765 BUCKLEY RD,5/8/2006,11/15/2007,,General Service,7241,1,Service,-120.6308354,35.2306827
A Higher Place,Home Occupation,2128 CYPRESS ST,11/7/1997,10/3/2016,Massage Therapist,Massage Therapist,10345,1,Service,-120.6658449,35.27088532
"A J Akers, Inc.",Home Occupation,618 AL HIL DR,4/8/2002,10/12/2016,General Contractor & Design,Contractor,8732,1,Service,-120.68468,35.30040157
A J Organizing,Home Occupation,142 N TASSAJARA DR,2/25/2020,6/4/2021,Household Management & Professional Organizing Services,General Service,2200,1,Service,-120.6780785,35.29443935
A Kathleen Atkinson Phd,Medical Services,1428 PHILLIPS LN 300,7/1/1983,9/8/2009,,Professional Service,15588,1,Service,-120.6573534,35.28798882
A Lens Of Her Own,Retail,1061 GROVE ST,7/27/2018,1/7/2019,,General Retailer,2778,1,Retail,-120.653194,35.28635892
A Muse Gallery,Artist/Art Dealer/Sales/Gallery,845 HIGUERA ST,10/8/2012,6/1/2015,Art Gallery,Downtown Association,4896,1,Downtown Association,-120.6622835,35.28014129
A Natural Affair,Home Occupation,3500 BULLOCK LN 39,6/5/2007,2/23/2009,Organic Wedding Favors And Green Photography Services,General Service,6848,1,Service,-120.6416819,35.25831488
A New You Salon,Beauty Salon,2040 PARKER ST,11/4/2002,7/15/2019,Beauty Salon,General Service,8522,1,Service,-120.6691183,35.2715956
"A P Nutrition, LLC","Wholesale, Distributors",814 RICARDO CT,6/30/2011,10/2/2012,Distribution And Warehousing Of Energy And Food Bars,General Wholesaler,5362,1,Other,-120.6425209,35.25676604
A Pack Of Strays,Home Occupation,251 TWIN RIDGE DR,9/22/2009,12/31/2013,Artist Management,Professional Service,6008,1,Service,-120.684368,35.30523621
A Passion For Nails,Home Occupation,1255 ORCUTT RD B 16,9/19/2006,8/15/2007,Manicures And Pedicures,General Service,7107,1,Service,-120.6406578,35.26133487
A Payne International Corporation,Real Estate Agent,1039 CHORRO ST,5/7/2014,2/28/2018,Real Estate Sales & Art Gallery,Downtown Association,4320,1,Downtown Association,-120.6631235,35.28006808
"A Place To Grow, LLC",Manufacturing,445 PRADO RD STE B,7/3/2013,11/19/2021,A Place To Grow,General Manufacturer,4628,1,Other,-120.6606931,35.25397287
A R Services,"Computers, Sales & Service",3080 MCMILLAN AVE,9/16/2015,6/30/2017,"Onsite Diagnostic, Repair And Setup For Computers/Business Machines",Professional Service,3823,1,Service,-120.6480356,35.26224303
A Relaxing Touch,Massage,2103 BROAD ST,5/30/2012,6/30/2015,Massage Therapy,Massage Therapist,5027,1,Service,-120.657639,35.27108328
A Shot In The Dark,Home Occupation,1268 REBA ST,1/28/1994,6/30/2011,,General Service,11724,1,Service,-120.646189,35.27054966
A Soothing Touch Massage Therapy,Massage,2066 CHORRO ST,7/28/2009,1/30/2012,Massage Therapy,Massage Therapist,6064,1,Service,-120.6573493,35.2714913
A Touch of Organization,Home Occupation,3057 S HIGUERA ST #206,4/14/2022,7/28/2022,Organize Homes & Offices,General Service,1421,1,Service,-120.6685444,35.25889134
A Way's Inn,Rental- Residential,1035 OAK ST,10/8/2010,4/30/2013,,Residential Rental,5627,1,Rental,-120.6659473,35.28886702
A White Cottage,Home Occupation,4591 SPANISH OAKS DR,1/22/2009,3/11/2010,"Online Store Selling Antique, Vintage, And Painted Furniture",General Retailer,6251,1,Retail,-120.6274227,35.24500933
A&h Weddings Made Perfect,Recreational Services,340 BUCHON ST,7/7/2004,9/12/2006,,General Service,7911,1,Service,-120.6664853,35.27301609
A&R Furntiure and Interiors,Retail,1301 BROAD ST,9/17/1999,12/31/2011,,Downtown Association,9666,1,Downtown Association,-120.6631512,35.27731411
A-1 All Construction Repairs,Contractor- General,1381 CAVALIER LN,9/1/2004,1/15/2009,,General Service,7855,1,Service,-120.6921633,35.25968408
A-1 Talent Co,Entertainment,3395 S HIGUERA ST #57,6/6/1995,8/19/2023,"Family Oriented Entertainment, Magic Shows, Face Painting Etc",General Service,11230,1,Service,-120.6688838,35.25468637
A-Ped Of S L O,,1180 ROUNDHOUSE AVE,1/21/1994,10/20/2010,,General Retailer,11731,1,Retail,-120.6557741,35.27054318
"A. Robin Aylor, Ph.D.",Medical Services,1985 JOHNSON AVE,9/5/2008,9/29/2019,Psychology Services,Professional Service,6390,1,Service,-120.6492136,35.27747289
"A.C.E. Promotional Products, Inc.",Apparel/Accessories,4251 S HIGUERA ST STE 800,11/5/2014,11/16/2015,Promotional Products Distributor,General Service,4138,1,Service,-120.676363,35.241632
A.P.E. & Marigee Photography,Home Occupation,2230 EXPOSITION DR #30,10/1/2009,5/16/2014,"Author/Writer Of Fiction, Economics Consulting, Book Reviewer",Professional Service,5999,1,Service,-120.6645404,35.26852169
A1 Home Repair & Maintenance Serv,Contractor- General,2160 KING ST,4/5/2000,6/6/2010,,General Service,9465,1,Service,-120.6620981,35.27002536
"Aaa Landscaping, LLC",Gardening,5450 EDNA RD,6/11/2002,8/13/2019,Landscape,General Service,8668,1,Service,-120.6237063,35.22278142
"AAG U.S.A., LLC",Retail,445 MADONNA RD STE A,2/17/2006,7/11/2020,Furniture Store,General Retailer,7321,1,Retail,-120.6791608,35.26192219
AAMCO Transmissions,Auto Mechanic/Detailer/Services,12330 LOS OSOS VALLEY RD,3/24/2008,2/28/2014,,General Service,6555,1,Service,-120.6836304,35.24788692
Aamco Transmissions,Auto Mechanic/Detailer/Services,12330 LOS OSOS VALLEY RD,8/11/2006,12/21/2007,,General Service,7146,1,Service,-120.6836304,35.24788692
Aaron Brothers #231,Retail,647 HIGUERA ST,3/22/2000,6/30/2018,,Downtown Association,9479,1,Downtown Association,-120.6650873,35.27845707
Aaron Kaplan Construction,Contractor- General,1911 RUTH ST,7/13/1999,6/20/2008,,Contractor,9732,1,Service,-120.6524792,35.27644045
Aarons Autorepair,Auto Mechanic/Detailer/Services,2968 S HIGUERA ST,8/31/2005,11/27/2007,,General Service,7491,1,Service,-120.6688618,35.25965812
Aathena Consulting,Home Occupation,2282 EXPOSITION DR,3/22/2022,6/1/2022,Technology & Industry Consulting Services,Professional Service,1444,1,Service,-120.6643149,35.26688063
ABA Creative,Home Occupation,1003 BUCHON ST,2/12/2009,10/10/2012,Graphic Desing/Web Development,General Service,6230,1,Service,-120.657891,35.27806364
Abacus 2000,Home Occupation,191 ANACAPA CIR,3/17/1994,5/9/2011,,General Service,11676,1,Service,-120.6855596,35.30488598
Abbas Etemadieh,Rental- Residential,1025 SOUTHWOOD DR APT R,10/22/2010,4/23/2014,,Residential Rental,5613,1,Rental,-120.6434086,35.26598969
Abc Company,Hotels and Motels,990 PALM ST,11/1/1987,9/16/2013,,General Service,14004,1,Service,-120.6622734,35.28264254
Abc Read,Home Occupation,1372 ARALIA CT,9/16/1999,7/25/2012,,General Retailer,9667,1,Retail,-120.6296288,35.24972091
ABCO Print & Design,Home Occupation,202 RAMONA DR,1/28/2008,7/30/2013,Printing Dealer,General Retailer,6611,1,Retail,-120.6829637,35.29294946
Abdul Matin Talukder,Rental- Residential,1360 LAUREL LN APT 8,10/8/2010,10/15/2013,,Residential Rental,5627,1,Rental,-120.6392417,35.26725514
Abe Wiebe,Rental- Residential,1750 PREFUMO CANYON RD APT 77,10/8/2010,6/30/2019,Residential Rental Property,Residential Rental,5627,1,Rental,-120.7012179,35.26129631
Abeille Bodywork,Massage,3565 S HIGUERA ST A,6/8/2009,7/25/2014,"Massage Therapy, Deep Tissue, Aromatherapy, Hot Stone, Etc",Massage Therapist,6114,1,Service,-120.6696431,35.25336169
Abercrombie & Fitch #10496,Apparel/Accessories,980 HIGUERA ST,5/18/2005,1/16/2021,,Downtown Association,7596,1,Downtown Association,-120.661033,35.28102394
Aberration Studios Llc,"Computers, Sales & Service",3465 SEQUOIA DR,3/29/2006,1/29/2007,,General Service,7281,1,Service,-120.6314607,35.26373239
"ABG Properties, LLC",Rental- Residential,25 STENNER ST #G,6/15/2015,7/1/2021,Residential Rental Property,Residential Rental,3916,1,Rental,-120.6633995,35.29245887
Ability Center/Ability Center Auto Sales,Auto Mechanic/Detailer/Services,3548 EMPLEO ST,7/2/2014,6/30/2020,Retail Dealer Of Equipment For The Disabled,General Retailer,4264,1,Retail,-120.6684759,35.25191766
Able Apes,Software Development,3000 BROAD ST STE 209,12/16/2016,4/30/2018,Develop & Offer Video Games For Mobile Devices,General Service,3366,1,Service,-120.6507408,35.26243522
Able Therapy Services,Medical Services,1411 MARSH ST 107,5/5/2003,6/19/2007,,Professional Service,8340,1,Service,-120.6541659,35.28407248
"Abraxas Energy Consulting, LLC","Computers, Sales & Service",1230 HIGUERA ST,5/9/2007,11/15/2022,Energy Accounting Software,Professional Service,6875,1,Service,-120.6575008,35.28310782
"Abraxas-Sigma JV, LLC",Miscellaneous Business,811 PALM ST,2/4/2015,6/30/2016,Government Contracting,Downtown Association,4047,1,Downtown Association,-120.6640121,35.28147034
ABS Chiropractic,Medical Services,1337 BROAD ST A,5/31/2018,7/1/2019,Chiropractic,Professional Service,2835,1,Service,-120.6629187,35.27705387
Abundant Health Yoga and Wellness,Health Spa/Fitness,1227 ARCHER ST,1/4/2008,4/1/2020,"Yoga,Exercise, Food",General Service,6635,1,Service,-120.6689274,35.27467254
Acacia Creek LP,Rental- Commercial,3450 BROAD ST STE 101-111,12/15/2000,11/7/2012,Commercial Rental Property,Commercial Rental Property,9211,1,Rental,-120.6471832,35.25684731
Acacia Productions,Business/ Services/ Professions,846 HIGUERA ST 4,3/15/2018,5/14/2019,Photography And Video For Business Promotiona And Marketing,Downtown Association,2912,1,Downtown Association,-120.6623436,35.2802472
Academy Cruises & Tours,Education/School,570 HIGUERA ST STE 195,2/11/1999,2/10/2016,Travel Agency,Downtown Association,9884,1,Downtown Association,-120.6663742,35.27781743
Academy Mortgage Corporation,Finance Company,994 MILL ST,12/17/2012,5/15/2018,Residential Mortgage Lending,General Service,4826,1,Service,-120.6629428,35.28346302
Access Limited Construction Company,Contractor- Specialty,225 SUBURBAN RD,8/27/2014,10/19/2016,Engineering Contractor,Contractor,4208,1,Service,-120.6690411,35.24396409
Access Media Group,Home Occupation,1776 JAMI LEE CT,6/28/1999,10/5/2011,,Professional Service,9747,1,Service,-120.6293694,35.26393818
Access Security,Home Occupation,3978 SUNROSE LN,1/7/2016,6/23/2016,Provide Emergency & Regular Security Services,General Service,3710,1,Service,-120.636028,35.25003905
Accurate Design And Machine,Manufacturing,840 CAPITOLIO WAY STE B,10/8/2010,10/17/2013,"Machine Shop, Job Shop, Machine Custom Parts/Various Companies",General Manufacturer,5627,1,Other,-120.6438338,35.25760451
ACE Studios,Home Occupation,2220 EXPOSITION DR UNIT 53,10/1/2022,6/1/2024,"Small Business Operations, Marketing & Tech Services",General Retailer,1251,1,Retail,-120.6645379,35.26883196
Acer Landscape Design,Home Occupation,1750 PREFUMO CANYON RD STE 30,2/23/2016,4/4/2025,Residential & Commercial Landscape Design Consulting,General Service,3663,1,Service,-120.7012179,35.26129631
"Achilles Prosthetics And Orthotics, Inc",Professional,842 CALIFORNIA BLVD,1/12/2009,12/31/2017,Prosthetics And Orthotics Services,Professional Service,6261,1,Service,-120.655527,35.28724755
Acme Auto Body,Auto Mechanic/Detailer/Services,645 TANK FARM RD STE L,12/28/2010,6/1/2024,Auto Body Repair,General Service,5546,1,Service,-120.645944,35.24717222
Acme Electric,Contractor- Specialty,1980 SANTA BARBARA ST,4/13/1989,1/1/2023,,Contractor,13475,1,Service,-120.6560868,35.27262861
Acorn West/Acornpaper,Retail,4310 SANTA FE RD STE A & B,3/2/1987,4/1/2023,"Packaging Supplies, Wine Shipping, Janitorial Products",General Retailer,14248,1,Retail,-120.6491821,35.2393444
Acosta Design & Consulting,Misc Business Services,1435 SOUTHWOOD DR,5/3/2005,9/6/2011,,General Service,7611,1,Service,-120.6367052,35.26487383
Action Towing & Recovery Llc,Towing Services,950 ORCUTT RD,7/15/1996,12/31/2010,Towing/Storage,General Service,10825,1,Service,-120.645345,35.26141804
Active Bodyworks,Massage,1422 MONTEREY ST STE A201,8/27/2007,6/29/2011,Trigger Point Massage Therapy,Massage Therapist,6765,1,Service,-120.6554518,35.28555705
Active Chick,Retail,3738 ORCUTT RD,8/6/2012,6/8/2021,Specialty Gear & Logowear For Women,General Retailer,4959,1,Retail,-120.6338025,35.25959709
Active Coffee Co.,Retail,570 HIGUERA ST STE 190,11/20/2018,1/8/2024,"Boutique Cafe - Coffee, Espresso, Pastries",Downtown Association,2662,1,Downtown Association,-120.6663742,35.27781743
Active Kids,Home Occupation,4590 WAVERTREE ST,11/20/2008,12/30/2009,Children's Fitness Programs,General Service,6314,1,Service,-120.6287775,35.24538684
Acupuncture Center Of Slo,Medical Services,891 PISMO ST,9/19/1994,7/29/2020,,Professional Service,11490,1,Service,-120.6597191,35.27815256
Acuworld Health Clinic,Health Spa/Fitness,2066 CHORRO ST,10/20/2008,11/24/2009,Acupuncture,Professional Service,6345,1,Service,-120.6573493,35.2714913
Adam Amaro,Rental- Residential,840 EL CAPITAN WAY,10/13/2010,8/1/2020,Residential Rental Property,Residential Rental,5622,1,Rental,-120.6415768,35.24679216
