,DBA,Business type,Bus address,"Bus City, State",Start date,Close date,Account #,Owner Name 1,License description,Rate type (STD),type,long,lat,closure_time,censor,zone,parcel
12,1035 Monterey Investors LLC + Once Upon a Time LP,Rental- Commercial,1035-1037 MONTEREY ST,"SAN LUIS OBISPO, CA 93401",2020-07-29,,116731,1035 Monterey Investors LLC + Once Upon a Time LP,Commercial Rental Property,Downtown Association,Downtown Association,-120.660745611411,35.282043573737,2046,0,C-D,002-434-003
13,"1039D Southwood Drive, LLC",Rental- Residential,1039 SOUTHWOOD DR UNIT D,"SAN LUIS OBISPO, CA 93401-5877",2022-09-01,,119066,"Trenkle, Anilda T",Long term rental property,Residential Rental,Rental,-120.641393143348,35.265436788194,1282,0,R-3,004-960-032
14,1042 Pacific St Partnership,Rental- Commercial,1042 PACIFIC ST STE B,"SAN LUIS OBISPO, CA 93401-3621",1987-07-01,,65350,"Hollister, Jon",Rental-Professional Office,Downtown Association,Downtown Association,-120.658875028639,35.28004070329,14128,0,O,002-443-009
15,1043 Southwood Drive H,Rental- Residential,1043 SOUTHWOOD DR #H,"SAN LUIS OBISPO, CA 93401-8603",2017-08-25,,114505,"Lodolo, Luca",Condo Rental,Residential Rental,Rental,-120.641215161741,35.26538805512,3115,0,R-3,004-960-049
16,1050 Bluebell Condo,Rental- Residential,1050 BLUEBELL WAY,"SAN LUIS OBISPO, CA 93401-7648",2022-04-01,2022-08-31,118532,1050 Bluebell Condo,Condo Rental,Residential Rental,Rental,-120.635673124449,35.249095119754,1435,1,R-2,053-080-054
17,1060 Willow Circle Rental,Rental- Residential,1060 WILLOW CIR,"SAN LUIS OBISPO, CA 93401-7177",2022-04-11,,118551,Hanlon & Goldenberg 2013 Revocable Trust,Condo Rental,Residential Rental,Rental,-120.641399966867,35.258915721343,1425,0,R-2,053-072-027
18,1092 San Adriano St. Rental,Rental- Residential,1092 SAN ADRIANO ST,"SAN LUIS OBISPO, CA 93405-6113",2016-07-29,,113770,"Madonna, Katherine & Mark",Residential Rental Property,Residential Rental,Rental,-120.701251326732,35.26357996173,3507,0,R-1,053-242-031
19,1105 Leff Street Rental,Rental- Residential,1105 LEFF ST,"SAN LUIS OBISPO, CA 93401-3709",2010-09-03,2014-06-30,108286,"Retsek, Dylan & Jen",,Residential Rental,Rental,-120.65513182252,35.277343491111,5663,1,R-3,003-556-021
20,111 Pawz L L C,Rental- Residential,4 LOCATION PROPERTY RENTALS,"SAN LUIS OBISPO, CA 93401-2760",2010-10-18,,109440,"Whinery, Kelly",Residential Rental Property,Residential Rental,Rental,,,5618,0,,
21,"1119 Chorro Street, LLC",Rental- Commercial,1119 N CHORRO ST,"SAN LUIS OBISPO, CA 93405",2015-05-11,,112764,"Sasson, Laurie",Commercial Rental Property,Downtown Association,Downtown Association,-120.662767286237,35.279662253823,3952,0,C-D,002-426-004
22,1119 Garden Street Building,Rental- Commercial,1119 GARDEN ST,"SAN LUIS OBISPO, CA 93401-3525",2006-01-19,2015-10-01,17492,,Commercial Rental Property,Downtown Association,Downtown Association,-120.663391656231,35.279200111209,7351,1,C-D,002-424-010
23,1121 Montalban LLC,Rental- Residential,1121 MONTALBAN ST,"SAN LUIS OBISPO, CA 93405-2427",2022-09-01,2025-04-15,118791,1121 Montalban LLC,Property management,General Retailer,Retail,-120.664569670353,35.288459667635,1282,1,C-T,001-114-036
24,1125 Garden Street Hotel Investors LP,Hotels and Motels,1119 GARDEN ST,"SAN LUIS OBISPO, CA 93401-3525",2019-03-15,,115624,"Heyn, Greg",Restaurant & Bar,Downtown Association,Downtown Association,-120.663391656231,35.279200111209,2548,0,C-D,002-424-010
25,1133 Laurel Ln,Rental- Residential,1133 LAUREL LN,"SAN LUIS OBISPO, CA 93401-5822",2022-04-11,,118567,"Young, Chung C",Real Estate Rental,Residential Rental,Rental,-120.642237257325,35.26297591145,1425,0,R-3,004-563-065
26,1137 Peach St,Homestay,1137 PEACH ST,"SAN LUIS OBISPO, CA 93401-2818",2024-01-01,,120296,"Paolozzi, Fabrizio",Homestay,General Service,Service,-120.661560481652,35.285363923426,795,0,R-2,002-316-004
27,116 Chorro Rental,Rental- Residential,116 CHORRO ST,"SAN LUIS OBISPO, CA 93405-1710",2022-01-01,,117990,"Harper, Robert D",116 Chorro Rental,Residential Rental,Rental,-120.669573996879,35.290108517387,1525,0,R-1,001-022-020
28,1170 Fuller Rd,Rental- Residential,1170 FULLER RD,"SAN LUIS OBISPO, CA 93401-7643",2012-11-28,,111210,", Joanne H Merrithew Revocable Living Trust",Residential Rental Property,Residential Rental,Rental,-120.634536053995,35.247662461952,4846,0,R-1,053-089-014
29,1185 E Foothill Blvd Apt 31,Rental- Residential,1185 E FOOTHILL BLVD APT 31,"SAN LUIS OBISPO, CA 93405-8501",2013-04-02,,111410,"Johnston, Nancy J",Residential Rental Property,Residential Rental,Rental,-120.664288722571,35.29476518458,4721,0,R-4,052-184-037
30,1185 E. Foothill LLC,Rental- Residential,1185 E FOOTHILL BLVD APT 26,"SAN LUIS OBISPO, CA 93405-8501",2010-09-13,2018-02-15,108630,"Puder, James R",rental proerty,Residential Rental,Rental,-120.664288722571,35.29476518458,5653,1,R-4,052-184-037
31,11860 Los Osos Valley Rd,Rental- Residential,11860 LOS OSOS VALLEY RD,"SAN LUIS OBISPO, CA 93405-6859",2022-03-21,,118259,"Smalling, Tyler B",annual lease rental,Residential Rental,Rental,-120.687255675837,35.252394808872,1446,0,C-R,053-152-012
32,11th Hole Grill,Food Store,11175 LOS OSOS VALLEY RD,"SAN LUIS OBISPO, CA 93405-6239",2011-03-25,2021-07-31,110030,Achievement House Inc.,Food Concession At Site,General Retailer,Retail,-120.696937107943,35.262185998482,5460,1,PF,053-111-058
33,"12 at Ke One 'Ele' ele, LLC",Rental- Residential,1733 FARRIER CT,"SAN LUIS OBISPO, CA 93405-7434",2021-10-11,2022-05-20,117578,"12 at Ke One 'Ele' ele, LLC",residential real estate rental,Residential Rental,Rental,-120.692628262543,35.253558996336,1607,1,R-1,053-514-004
34,121 Stenner LLC,Rental- Residential,121 STENNER ST,"SAN LUIS OBISPO, CA 93405-1813",2021-07-24,,118503,121 Stenner LLC,Rental,Residential Rental,Rental,-120.663405619377,35.292066358623,1686,0,R-3,052-194-002
35,1214 Bond LLC,Rental- Residential,1214 BOND ST,"SAN LUIS OBISPO, CA 93405-1929",2022-04-22,,118675,"Bothwell, Matthew",Rental Property,Residential Rental,Rental,-120.660963462586,35.29415545469,1414,0,R-1,052-091-017
36,1219 Tattoo,Misc Business Services,1075 COURT ST 209,"SAN LUIS OBISPO, CA 93401-3273",2023-02-22,,119542,"Pantaleon, Juan D",Body art,Downtown Association,Downtown Association,-120.661468931048,35.281076207266,1108,0,C-D,002-431-010
37,"1227 Archer, LLC",Rental- Commercial,1227 ARCHER ST,"SAN LUIS OBISPO, CA 93401-3806",2014-09-03,,112279,"Barrett, John",Commercial Rental Property,Commercial Rental Property,Rental,-120.668927445048,35.274672542886,4202,0,C-R,002-506-002
38,123 Test,Rental- Commercial,123 orange ST,"SAN LUIS OBISPO, CA 93405",2015-04-17,,112717,"Colleran, Lorraine",Government,Commercial Rental Property,Rental,-120.66052603149,35.295273485658,3976,0,R-1,052-091-010
39,1230 MVP LLC,Rental- Residential,3 LOCATIONS,"SAN LUIS OBISPO, CA 93405-1440",2022-07-01,,118790,"Montage Development, Inc.",Rental - Residential,Residential Rental,Rental,,,1344,0,,
40,1239 E Foothill Blvd #111 Rental,Rental- Residential,1239 E FOOTHILL BLVD # 111,"SAN LUIS OBISPO, CA 93405-1479",2022-03-12,,118143,"Morefield, Richard A",Rental property,Residential Rental,Rental,-120.663233205767,35.295215907984,1455,0,R-4,052-072-024
41,"1247 VDL, LLC",Rental- Residential,1247 VISTA DEL LAGO,"SAN LUIS OBISPO, CA 93405-4836",2021-01-10,,118282,"1247 VDL, LLC",Rental Unit,Residential Rental,Rental,-120.693729838568,35.262545160707,1881,0,R-1,004-261-083
42,1249 Palm LLC,Rental- Residential,1249 PALM ST,"SAN LUIS OBISPO, CA 93401-3142",2021-11-15,,120859,1249 Palm,Rental- Residential,Residential Rental,Rental,-120.658625638016,35.284661576478,1572,0,O,001-222-003
43,1292 Chaparral Circle,Rental- Residential,1292 CHAPARRAL CIR,"SAN LUIS OBISPO, CA 93401-7698",2015-10-26,2017-09-01,113159,"Kitamura, Joshua",Rental Property,Residential Rental,Rental,-120.631060595296,35.249636638676,3784,1,R-2,053-300-017
44,1305 Marsh Street LLC,Rental- Commercial,1305 MARSH ST,"SAN LUIS OBISPO, CA 93401-3315",2012-08-30,2024-05-31,111054,"Naccasha, Ziyad",Real Estate Investment,Commercial Rental Property,Rental,-120.655747186501,35.282991824028,4936,1,O,002-342-022
45,1314 Palm LLC,Rental- Residential,1314 PALM ST,"SAN LUIS OBISPO, CA 93401-3100",2023-02-28,,120860,1314 Palm,Rental- Residential,Residential Rental,Rental,-120.657763360082,35.28531256936,1102,0,R-3,001-225-001
46,"1335 Foothill, LLC",Rental- Residential,1335 E FOOTHILL BLVD,"SAN LUIS OBISPO, CA 93405-1413",2010-09-10,,108588,Phi Kappa Psi Alumni Corporation,Residential Rental Property,Residential Rental,Rental,-120.66124065995,35.296401816746,5656,0,R-4,052-082-034
47,1342 Breck Rental,Rental- Residential,1342 BRECK ST,"SAN LUIS OBISPO, CA 93401-3021",2021-10-28,,117638,"Layous, John C",Residential Rental,Residential Rental,Rental,-120.651407232989,35.279585852935,1590,0,R-3,003-564-026
48,1351 Royal Way #9,Rental- Residential,1351 ROYAL WAY #9,"SAN LUIS OBISPO, CA 93405-4911",2010-09-03,2011-09-20,108298,"Springer, David",,Residential Rental,Rental,-120.691536508351,35.259257299533,5663,1,R-2,004-611-068
49,1355 Pacific LLC,Rental- Residential,1355 PACIFIC ST,"SAN LUIS OBISPO, CA 93401-3317",2025-05-01,,121401,1355 Pacific LLC,,Residential Rental,Rental,-120.654425434507,35.282715309338,309,0,R-2,002-343-036
50,1370 Taft LLC,Rental- Residential,3 RENTAL LOCATIONS,"SAN LUIS OBISPO, CA 93401-2661",2017-05-01,2025-09-23,118357,1370 Taft LLC,Rental Properties,Residential Rental,Rental,,,3231,1,,
51,14 Hathway LLC,Rental- Residential,14 HATHWAY AVE,"SAN LUIS OBISPO, CA 93405-1418",2010-10-18,,109426,"Gabele, Cheryl",Rental-Residential,Residential Rental,Rental,-120.659286493817,35.296964258782,5618,0,R-1,052-093-001
52,1415 Ella St,Rental- Residential,1415 ELLA ST,"SAN LUIS OBISPO, CA 93401-3022",2015-07-24,,112941,"Taylor, Dean",Residential Rental,Residential Rental,Rental,-120.648822243011,35.277423807088,3878,0,R-2,003-584-025
53,15 Degrees C Wine Shop and Bar,Restaurant,3590 BROAD ST 100,"SAN LUIS OBISPO, CA 93401-7261",2023-09-18,,120030,"Carscaden, Alison R","Wine shop, bar, and restaurant",General Retailer,Retail,-120.646140645668,35.254767797051,900,0,C-S,053-231-043
54,1527 Oceanaire DR,Rental- Residential,1527 OCEANAIRE DR,"SAN LUIS OBISPO, CA 93405-6535",2021-01-01,,118641,"Tarkington, Joanne",rental property Renting to my son at a Finacial loss,Residential Rental,Rental,-120.685433866101,35.26124059543,1890,0,R-1,004-441-021
55,1530 Penny Lane Rental,Rental- Residential,1530 PENNY LN,"SAN LUIS OBISPO, CA 93401-3746",2022-02-17,,117979,"Kelley, Fred",Rental House,Residential Rental,Rental,-120.653833632569,35.280347596049,1478,0,R-2,002-453-001
56,1547 Rental,Rental- Residential,1547 ETO CIR,"SAN LUIS OBISPO, CA 93405-7429",2023-02-20,,119539,"Taylor, John D",Landlord of rental property,Residential Rental,Rental,-120.69703903345,35.255160162372,1110,0,R-1,053-511-012
57,1573 Slack LLC,Rental- Residential,1573 SLACK ST,"SAN LUIS OBISPO, CA 93405-1963",2022-04-22,,118674,"Bothwell, Matthew",Rental Property,Residential Rental,Rental,-120.655920439173,35.295996751914,1414,0,R-1,052-321-011
58,1601 MONTEREY,Rental- Commercial,1601 MONTEREY ST,"SAN LUIS OBISPO, CA 93401-2929",2022-01-01,,120023,"ARRONA, BENJAMIN G",Restaurant,Commercial Rental Property,Rental,-120.653474122511,35.286829309148,1525,0,C-T,001-237-001
59,"1604 Morro Street, LLC",Real Estate Broker,1604 MORRO ST,"SAN LUIS OBISPO, CA 93401-4054",2017-06-21,,114375,"Conocono, Lina",Real Estate Leasing,Residential Rental,Rental,-120.658103117754,35.276697137859,3180,0,R-3,003-551-001
60,1681 Colina Rental,Rental- Residential,1681 COLINA CT,"SAN LUIS OBISPO, CA 93401-6056",2021-05-03,2022-06-30,117765,"Magner, John A",Residential Rentals,Residential Rental,Rental,-120.632873943634,35.266217755657,1768,1,R-1,004-752-009
61,171 Felmar Rental,Rental- Residential,171 FEL MAR DR,"SAN LUIS OBISPO, CA 93405-1015",2016-09-12,2019-06-30,113874,"Kneafsey, Kevin",Residential Rental,Residential Rental,Rental,-120.684413426308,35.298935152292,3462,1,R-1,052-482-002
62,1848 Homestead Place,Homestay,1848 HOMESTEAD PLACE,"SAN LUIS OBISPO, CA 93405",2023-05-15,,119716,"Bodney, Melissa",Homestay,General Service,Service,-120.679565,35.258798,1026,0,R-2,053-157-040
63,1856 Corralitos Avenue,Rental- Residential,1856 CORRALITOS AVE,"SAN LUIS OBISPO, CA 93401-2610",2022-01-27,,117853,1856 Corralitos Avenue,Rental Property,Residential Rental,Rental,-120.648301431536,35.287748279959,1499,0,R-1,001-262-018
64,"1865 Crafthouse and Kitchen, LLC",Restaurant,1865 MONTEREY ST,"SAN LUIS OBISPO, CA 93401-2613",2017-07-10,,120891,"1865 Crafthouse and Kitchen, LLC",,General Service,Service,-120.651167855351,35.288951278619,3161,0,C-T,001-152-016
65,1865 Restaurant,Restaurant,1865 MONTEREY ST,"SAN LUIS OBISPO, CA 93401-2613",1995-04-01,2007-11-27,7740,"Perello, Molly",,General Retailer,Retail,-120.651167855351,35.288951278619,11297,1,C-T,001-152-016
66,1871 Partridge Drive,Rental- Residential,1871 PARTRIDGE DR,"SAN LUIS OBISPO, CA 93405-6321",2018-04-06,2018-12-31,114896,"Shaw, Jennifer",Rental Property,Residential Rental,Rental,-120.69896593117,35.256284667095,2891,1,R-1,053-113-024
67,1904 Broad Homestay,Hotels and Motels,1904 BROAD ST,"SAN LUIS OBISPO, CA 93401-4407",2019-01-08,2019-09-12,115473,"Silvestre, Debra",Homestay,General Service,Service,-120.658822761284,35.272692643388,2614,1,C-N,003-644-015
68,1946 Lima Dr,Rental- Residential,1946 LIMA DR,"SAN LUIS OBISPO, CA 93405-6821",2013-06-24,,111532,"Schmidt, Marianne",Sole Proprietor,Residential Rental,Rental,-120.68517023218,35.25541502819,4638,0,R-1,004-411-019
69,1992 Fixlini,Rental- Residential,1992 FIXLINI ST,"SAN LUIS OBISPO, CA 93401-3031",2011-09-29,2013-05-31,110383,"Wieger, Richard",Residential Rental Property,Residential Rental,Rental,-120.64807989076,35.278043636167,5272,1,R-1,003-581-025
70,1999 Bradley Family Trust,Rental- Residential,808 MURRAY AVE,"SAN LUIS OBISPO, CA 93405-1737",2010-10-22,,109482,"Bradley, Geoff",Rental - Residential,Residential Rental,Rental,-120.669431627189,35.290879455536,5614,0,R-1,001-021-016
71,19SIX Architects,Architect,560 HIGUERA ST STE C,"SAN LUIS OBISPO, CA 93401-3850",2010-12-28,,109858,"Kroeker, Alan",Architectural Services,Downtown Association,Downtown Association,-120.666578048053,35.277694319824,5547,0,C-D,002-402-045
72,1st Capital Bank,Financial Institution,599 HIGUERA ST STE B,"SAN LUIS OBISPO, CA 93401-3851",2015-05-15,,112778,"Levi, Stephanie",Community Bank,Downtown Association,Downtown Association,-120.665719991975,35.278070023043,3948,0,C-D,003-511-014
73,"2 Blondes, LLC",Retail,1115 BROAD ST,"SAN LUIS OBISPO, CA 93401-3506",2015-02-18,2020-01-31,112584,"Morgridge, Linda",Women's Clothing Boutique,Downtown Association,Downtown Association,-120.664355410215,35.278657576057,4034,1,C-D,002-422-008
74,2 Dog Coffee Company,Restaurant,1017 MONTEREY ST,"SAN LUIS OBISPO, CA 93401-3206",2001-12-07,2007-04-24,12895,"William, Der Garabedian John Clayton",,Downtown Association,Downtown Association,-120.661011599207,35.281888203104,8855,1,C-D,002-434-002
75,2 The T Auto Detailing,,188 TANK FARM RD,"SAN LUIS OBISPO, CA 93401-7528",2005-05-13,2006-10-17,17023,"Vancil, Gregory Tyson",,General Service,Service,-120.668508276833,35.246860459744,7602,1,C-S,053-251-067
76,20 West Studios,Entertainment,2103 Parker Street,San Luis Obispo,2023-01-01,2025-07-01,119440,"Tedeschi, Tyler S",Music Recording Studio,General Retailer,Retail,-120.669328070074,35.27080196709,1160,1,C-S,003-721-033
77,20/20 Creative Group,Misc Business Services,867 PACIFIC ST STE 220,"SAN LUIS OBISPO, CA 93401-3636",2007-01-08,,105391,"Ramsey, Alec",Marketing & Design,Downtown Association,Downtown Association,-120.660699676665,35.278796100972,6997,0,O,003-528-009
78,2002 Haus,Retail,855 CAPITOLIO WAY STE 5,"SAN LUIS OBISPO, CA 93401-7175",1990-06-01,2016-12-22,2297,"Torres Jr, Robert E",,General Retailer,Retail,-120.643516144492,35.257659216156,13062,1,M,053-062-014
79,2004,Rental- Residential,1444 LAUREL LN,"SAN LUIS OBISPO, CA 93401-4632",2010-09-09,2022-11-30,108475,"Jackson, Tom",Residential Rental,Residential Rental,Rental,-120.638900633277,35.267717625999,5657,1,R-1,004-972-034
80,2005 Lee A Brazil Revocable Trust,Rental- Residential,2 RENTAL LOCATIONS,"SAN LUIS OBISPO, CA 93401-2661",1991-06-01,,2959,"Brazil, Lee",Residential Rental Properties,Residential Rental,Rental,,,12697,0,,
81,201 Kitchen SLO,Restaurant,857 HIGUERA ST,"SAN LUIS OBISPO, CA 93401-3609",2021-10-07,,117587,"HLB 8899, Inc.",Japanese Restaurant,Downtown Association,Downtown Association,-120.662151465255,35.280219042901,1611,0,C-D,002-427-014
82,"2017 DeLuna Revocable Trust dtd June 6, 2017",Rental- Residential,2 RENTAL LOCATIONS,"SAN LUIS OBISPO, CA 93401-2661",2022-03-11,,118127,"DeLuna, Sharon",Rental Houses,Residential Rental,Rental,,,1456,0,,
83,2171 San Luis Drive LLC,Rental- Residential,2801 JOHNSON AVE #3,"SAN LUIS OBISPO, CA 93401-5864",2022-04-25,,118690,"Perlich, Chad",Rental Property,Residential Rental,Rental,-120.64215711153,35.269582204629,1411,0,R-1,004-973-029
84,22 North Chorro Project Owner LLC,Rental- Residential,22 N CHORRO ST,"SAN LUIS OBISPO, CA 93405",2018-08-03,2024-05-29,115176,"Sacunas, Abby",Mixed Use Apartment Building Opening Sept 2018,Residential Rental,Rental,-120.669920130658,35.293500057903,2772,1,R-1,052-174-003
85,222 Vernon LLC,Rental- Residential,2 RENTAL LOCATIONS,"SAN LUIS OBISPO, CA 93401-2661",2010-09-20,,109051,"Davis, John",Residential Rental Property,Residential Rental,Rental,,,5646,0,,
86,2221 King Court #26,Rental- Residential,2221 KING CT 26,"SAN LUIS OBISPO, CA 93401-5178",2016-10-25,,113989,"Briner, Tyson & Anika",Residential Rental Property,Residential Rental,Rental,-120.66223849037,35.268137823322,3419,0,R-4,004-826-041
87,2221 King Ct Rental,Rental- Residential,2221 KING CT 37,"SAN LUIS OBISPO, CA 93401-5100",2010-10-29,,109594,"Ho, Kirby",Rental Townhome,Residential Rental,Rental,-120.66223849037,35.268137823322,5607,0,R-4,004-826-041
88,2300 Sunset Drive LLC,Rental- Residential,2300 SUNSET DR,"SAN LUIS OBISPO, CA 93401-4652",2001-01-29,2014-03-07,70677,"Oleary, Partick R & Mary K",,Residential Rental,Rental,-120.642268160853,35.275042881848,9167,1,R-1,003-781-008
89,2302A Santa Ynez,Homestay,2302 SANTA YNEZ AVE,"SAN LUIS OBISPO, CA 93405-2112",2025-12-01,2025-11-18,121788,"Payne, Gavin M",,General Service,Service,-120.64597041963,35.293147602892,95,1,R-1,052-136-019
90,2306 Santa Ynez Casa Paloma,Rental- Residential,2306 SANTA YNEZ AVE,"SAN LUIS OBISPO, CA 93405-2112",2025-12-15,,121922,"Watts, Renata",,General Service,Service,-120.645889701679,35.293165453847,81,0,R-1,052-136-019
91,2333 Helena Street Rental,Rental- Residential,2333 HELENA ST,"SAN LUIS OBISPO, CA 93401-4511",2022-03-09,2022-06-16,118077,"Bohrer, Kevin",Rental Property,Residential Rental,Rental,-120.648710894489,35.270699136462,1458,1,R-1,004-722-002
92,2350 Meadow Homestay,Hotels and Motels,2350 MEADOW ST,"SAN LUIS OBISPO, CA 93401-5628",2017-05-01,2020-02-05,114242,"Bartels, Emily",Homestay,General Service,Service,-120.658052639792,35.267787865667,3231,1,R-1,004-833-016
93,2423 Del Campo Rental,Rental- Residential,2423 BOULEVARD DEL CAMPO,"SAN LUIS OBISPO, CA 93401-5311",2022-01-01,,118181,"WELLIVER, MARK S",RENTAL - RESIDENTIAL,Residential Rental,Rental,-120.649286622289,35.269208090751,1525,0,R-1,004-853-008
94,2524 Augusta Rental,Rental- Residential,2524 AUGUSTA ST,"SAN LUIS OBISPO, CA 93401-5304",2022-03-10,2023-10-02,118120,"Hicks, Kevin",Rental house,Residential Rental,Rental,-120.645409163881,35.270253754156,1457,1,R-1,004-784-002
95,2548 Meadow Rental,Homestay,2548 MEADOW ST,"SAN LUIS OBISPO, CA 93401-5632",2023-05-15,2024-06-04,119715,"Skidmore, Jessie",Homestay,General Service,Service,-120.658082019138,35.266016701868,1026,1,R-1,004-903-004
96,255 Rosita St B&B,Hotels and Motels,255 ROSITA ST,"SAN LUIS OBISPO, CA 93405-1266",2018-06-26,2019-06-30,115081,"Gimbel, Denise",Homestay,General Service,Service,-120.684472109163,35.295369602885,2810,1,R-1,052-011-043
97,258 Chorro Street Rental,Rental- Residential,258 CHORRO ST,"SAN LUIS OBISPO, CA 93405-2370",2012-08-17,2017-05-17,111029,"Loeffler, Bruce",,Residential Rental,Rental,-120.66879425931,35.287645228274,4949,1,R-1,001-106-001
98,"263 Chorro, LLC",Rental- Residential,263 N CHORRO ST,"SAN LUIS OBISPO, CA 93405-1374",2017-02-08,,114145,,Rental Residential,Residential Rental,Rental,-120.672102156804,35.2954662869,3313,0,"117    R-4
117    R-4
Name: zone, dtype: object",052-041-055
99,"269 Cerro, L L C",Rental- Residential,2 LOCATIONS,"SAN LUIS OBISPO, CA 93401-2318",2010-09-10,2015-04-15,108589,"Smith III, Wilbur H",,Residential Rental,Rental,,,5656,1,,
100,274 Hathway LLC,Rental- Residential,274 HATHWAY AVE,"SAN LUIS OBISPO, CA 93405-1422",2022-04-22,,118673,"Bothwell, Matthew",Rental Property,Residential Rental,Rental,-120.661333951792,35.294395713033,1414,0,R-1,052-091-018
101,287 Chorro Rental,Rental- Residential,287 CHORRO ST,"SAN LUIS OBISPO, CA 93405-2315",2022-02-04,,117888,"Kenney, Daniel",Residential Rental,Residential Rental,Rental,-120.668751602049,35.287181955978,1491,0,R-1,001-104-013
102,"2885 S Higuera Street, LLC",Rental- Commercial,2885 S HIGUERA ST,"SAN LUIS OBISPO, CA 93401-6601",2013-01-02,2015-05-29,111259,"Kyle, Michael",Commercial Rental Property,Commercial Rental Property,Rental,-120.669284957387,35.26174456486,4811,1,C-S,053-021-029
103,2br,Retail,3960 S HIGUERA ST 61,"SAN LUIS OBISPO, CA 93401-7461",2005-01-27,2006-07-20,16303,"Baker, Brett",,General Retailer,Retail,-120.673550392012,35.247099487768,7708,1,R-2,053-131-011
104,2HERC,Home Occupation,1934 CHORRO ST #3,"SAN LUIS OBISPO, CA 93401-4464",2021-03-16,2022-07-10,117155,"Kordic, Anamaria","E-Tailer, Web Design, Development & Marketing",General Retailer,Retail,-120.657256749999,35.273158374848,1816,1,R-2,003-647-005
105,3 Ball Academy,Home Occupation,408 MARGARITA AVE,"SAN LUIS OBISPO, CA 93401-6921",2003-09-02,,14320,"Wozniak, Mike",Physical Fitness,General Service,Service,-120.661857558215,35.256187953791,8221,0,R-1,053-183-015
106,3 J Photos,Home Occupation,1193 WISTERIA LN,"SAN LUIS OBISPO, CA 93401-7669",2018-05-10,,114967,"Johnson, Janet",Bird Feeders And Photos,General Retailer,Retail,-120.633152796454,35.246520031276,2857,0,R-1,053-094-029
